"category","percent","school_id","year"
"School ","100","0010111","201314"
"State High Poverty Quartile Schools ","97.8","0010111","201314"
"State Low Poverty Quartile Schools ","99.5","0010111","201314"
"School ","97","0010111","201415"
"State High Poverty Quartile Schools ","97.9","0010111","201415"
"State Low Poverty Quartile Schools ","99.6","0010111","201415"
"School ","95","0010111","201516"
"State High Poverty Quartile Schools ","97.6","0010111","201516"
"State Low Poverty Quartile Schools ","99.6","0010111","201516"
"School ","100","0020311","201314"
"State High Poverty Quartile Schools ","97.8","0020311","201314"
"State Low Poverty Quartile Schools ","99.5","0020311","201314"
"School ","98.7","0020311","201415"
"State High Poverty Quartile Schools ","97.9","0020311","201415"
"State Low Poverty Quartile Schools ","99.6","0020311","201415"
"School ","100","0020311","201516"
"State High Poverty Quartile Schools ","97.6","0020311","201516"
"State Low Poverty Quartile Schools ","99.6","0020311","201516"
"School ","100","0020811","201314"
"State High Poverty Quartile Schools ","97.8","0020811","201314"
"State Low Poverty Quartile Schools ","99.5","0020811","201314"
"School ","100","0020811","201415"
"State High Poverty Quartile Schools ","97.9","0020811","201415"
"State Low Poverty Quartile Schools ","99.6","0020811","201415"
"School ","100","0020811","201516"
"State High Poverty Quartile Schools ","97.6","0020811","201516"
"State Low Poverty Quartile Schools ","99.6","0020811","201516"
"School ","100","0025111","201314"
"State High Poverty Quartile Schools ","97.8","0025111","201314"
"State Low Poverty Quartile Schools ","99.5","0025111","201314"
"School ","96.2","0025111","201415"
"State High Poverty Quartile Schools ","97.9","0025111","201415"
"State Low Poverty Quartile Schools ","99.6","0025111","201415"
"School ","100","0025111","201516"
"State High Poverty Quartile Schools ","97.6","0025111","201516"
"State Low Poverty Quartile Schools ","99.6","0025111","201516"
"School ","97.4","0026111","201314"
"State High Poverty Quartile Schools ","97.8","0026111","201314"
"State Low Poverty Quartile Schools ","99.5","0026111","201314"
"School ","97.6","0026111","201415"
"State High Poverty Quartile Schools ","97.9","0026111","201415"
"State Low Poverty Quartile Schools ","99.6","0026111","201415"
"School ","100","0026111","201516"
"State High Poverty Quartile Schools ","97.6","0026111","201516"
"State Low Poverty Quartile Schools ","99.6","0026111","201516"
"School ","100","0030111","201314"
"State High Poverty Quartile Schools ","97.8","0030111","201314"
"State Low Poverty Quartile Schools ","99.5","0030111","201314"
"School ","95.7","0030111","201415"
"State High Poverty Quartile Schools ","97.9","0030111","201415"
"State Low Poverty Quartile Schools ","99.6","0030111","201415"
"School ","100","0030111","201516"
"State High Poverty Quartile Schools ","97.6","0030111","201516"
"State Low Poverty Quartile Schools ","99.6","0030111","201516"
"School ","100","0040311","201314"
"State High Poverty Quartile Schools ","97.8","0040311","201314"
"State Low Poverty Quartile Schools ","99.5","0040311","201314"
"School ","100","0040311","201415"
"State High Poverty Quartile Schools ","97.9","0040311","201415"
"State Low Poverty Quartile Schools ","99.6","0040311","201415"
"School ","100","0040311","201516"
"State High Poverty Quartile Schools ","97.6","0040311","201516"
"State Low Poverty Quartile Schools ","99.6","0040311","201516"
"School ","100","0040411","201314"
"State High Poverty Quartile Schools ","97.8","0040411","201314"
"State Low Poverty Quartile Schools ","99.5","0040411","201314"
"School ","98.7","0040411","201415"
"State High Poverty Quartile Schools ","97.9","0040411","201415"
"State Low Poverty Quartile Schools ","99.6","0040411","201415"
"School ","100","0040411","201516"
"State High Poverty Quartile Schools ","97.6","0040411","201516"
"State Low Poverty Quartile Schools ","99.6","0040411","201516"
"School ","100","0040511","201314"
"State High Poverty Quartile Schools ","97.8","0040511","201314"
"State Low Poverty Quartile Schools ","99.5","0040511","201314"
"School ","100","0040511","201415"
"State High Poverty Quartile Schools ","97.9","0040511","201415"
"State Low Poverty Quartile Schools ","99.6","0040511","201415"
"School ","100","0040511","201516"
"State High Poverty Quartile Schools ","97.6","0040511","201516"
"State Low Poverty Quartile Schools ","99.6","0040511","201516"
"School ","100","0045111","201314"
"State High Poverty Quartile Schools ","97.8","0045111","201314"
"State Low Poverty Quartile Schools ","99.5","0045111","201314"
"School ","97.4","0045111","201415"
"State High Poverty Quartile Schools ","97.9","0045111","201415"
"State Low Poverty Quartile Schools ","99.6","0045111","201415"
"School ","100","0045111","201516"
"State High Poverty Quartile Schools ","97.6","0045111","201516"
"State Low Poverty Quartile Schools ","99.6","0045111","201516"
"School ","99.7","0046111","201314"
"State High Poverty Quartile Schools ","97.8","0046111","201314"
"State Low Poverty Quartile Schools ","99.5","0046111","201314"
"School ","100","0046111","201415"
"State High Poverty Quartile Schools ","97.9","0046111","201415"
"State Low Poverty Quartile Schools ","99.6","0046111","201415"
"School ","100","0046111","201516"
"State High Poverty Quartile Schools ","97.6","0046111","201516"
"State Low Poverty Quartile Schools ","99.6","0046111","201516"
"School ","100","0050111","201314"
"State High Poverty Quartile Schools ","97.8","0050111","201314"
"State Low Poverty Quartile Schools ","99.5","0050111","201314"
"School ","100","0050111","201415"
"State High Poverty Quartile Schools ","97.9","0050111","201415"
"State Low Poverty Quartile Schools ","99.6","0050111","201415"
"School ","100","0050111","201516"
"State High Poverty Quartile Schools ","97.6","0050111","201516"
"State Low Poverty Quartile Schools ","99.6","0050111","201516"
"School ","100","0070111","201314"
"State High Poverty Quartile Schools ","97.8","0070111","201314"
"State Low Poverty Quartile Schools ","99.5","0070111","201314"
"School ","88.9","0070111","201415"
"State High Poverty Quartile Schools ","97.9","0070111","201415"
"State Low Poverty Quartile Schools ","99.6","0070111","201415"
"School ","100","0070111","201516"
"State High Poverty Quartile Schools ","97.6","0070111","201516"
"State Low Poverty Quartile Schools ","99.6","0070111","201516"
"School ","98.7","0070411","201314"
"State High Poverty Quartile Schools ","97.8","0070411","201314"
"State Low Poverty Quartile Schools ","99.5","0070411","201314"
"School ","100","0070411","201415"
"State High Poverty Quartile Schools ","97.9","0070411","201415"
"State Low Poverty Quartile Schools ","99.6","0070411","201415"
"School ","100","0070411","201516"
"State High Poverty Quartile Schools ","97.6","0070411","201516"
"State Low Poverty Quartile Schools ","99.6","0070411","201516"
"School ","100","0070511","201314"
"State High Poverty Quartile Schools ","97.8","0070511","201314"
"State Low Poverty Quartile Schools ","99.5","0070511","201314"
"School ","100","0070511","201415"
"State High Poverty Quartile Schools ","97.9","0070511","201415"
"State Low Poverty Quartile Schools ","99.6","0070511","201415"
"School ","98.6","0070511","201516"
"State High Poverty Quartile Schools ","97.6","0070511","201516"
"State Low Poverty Quartile Schools ","99.6","0070511","201516"
"School ","100","0075111","201314"
"State High Poverty Quartile Schools ","97.8","0075111","201314"
"State Low Poverty Quartile Schools ","99.5","0075111","201314"
"School ","96.1","0075111","201415"
"State High Poverty Quartile Schools ","97.9","0075111","201415"
"State Low Poverty Quartile Schools ","99.6","0075111","201415"
"School ","96.1","0075111","201516"
"State High Poverty Quartile Schools ","97.6","0075111","201516"
"State Low Poverty Quartile Schools ","99.6","0075111","201516"
"School ","100","0076111","201314"
"State High Poverty Quartile Schools ","97.8","0076111","201314"
"State Low Poverty Quartile Schools ","99.5","0076111","201314"
"School ","100","0076111","201415"
"State High Poverty Quartile Schools ","97.9","0076111","201415"
"State Low Poverty Quartile Schools ","99.6","0076111","201415"
"School ","100","0076111","201516"
"State High Poverty Quartile Schools ","97.6","0076111","201516"
"State Low Poverty Quartile Schools ","99.6","0076111","201516"
"School ","100","0080111","201314"
"State High Poverty Quartile Schools ","97.8","0080111","201314"
