"category","participation.rate","meeting.bench.count","meeting.bench.rate","school_id","year"
"Female ","73.9 ","19 ","16.5","0026111","201314"
"Male ","53.2 ","20 ","14.4","0026111","201314"
"Black or African American ","68.0 ","* ","*","0026111","201314"
"Hispanic or Latino ","46.3 ","* ","*","0026111","201314"
"White ","68.7 ","29 ","22.1","0026111","201314"
"English Language Learners ","* ","0 ","*","0026111","201314"
"Eligible for Free or ","57.1 ","14 ","9.5","0026111","201314"
"Reduced-Price Meals","","","","0026111","201314"
"Students with Disabilities ","* ","0 ","*","0026111","201314"
"School ","62.6 ","39 ","15.4","0026111","201314"
"District ","61.9 ","","15.2","0026111","201314"
"Female ","65.6 ","27 ","22.1","0026111","201415"
"Male ","54.3 ","31 ","22.1","0026111","201415"
"Black or African American ","55.6 ","6 ","11.1","0026111","201415"
"Hispanic or Latino ","42.4 ","* ","*","0026111","201415"
"White ","66.2 ","43 ","30.3","0026111","201415"
"English Language Learners ","* ","0 ","*","0026111","201415"
"Eligible for Free or ","52.3 ","20 ","13.2","0026111","201415"
"Reduced-Price Meals","","","","0026111","201415"
"Students with Disabilities ","* ","0 ","*","0026111","201415"
"School ","59.5 ","58 ","22.1","0026111","201415"
"District ","56.8 ","","20.9","0026111","201415"
"Female ","93.8 ","36 ","27.9","0026111","201516"
"Male ","95.5 ","38 ","28.6","0026111","201516"
"Black or African American ","96.3 ","7 ","13.0","0026111","201516"
"Hispanic or Latino ","96.4 ","7 ","12.7","0026111","201516"
"White ","93.2 ","57 ","38.5","0026111","201516"
"English Language Learners ","* ","0 ","*","0026111","201516"
"Eligible for Free or ","94.2 ","20 ","14.5","0026111","201516"
"Reduced-Price Meals","","","","0026111","201516"
"Students with Disabilities ","* ","* ","*","0026111","201516"
"School ","94.7 ","74 ","28.2","0026111","201516"
"District ","94.2 ","","26.9","0026111","201516"
"Female ","94.5 ","220 ","75.3","0046111","201314"
"Male ","86.3 ","156 ","67.0","0046111","201314"
"Black or African American ","* ","* ","*","0046111","201314"
"Hispanic or Latino ","87.5 ","15 ","62.5","0046111","201314"
"White ","91.8 ","317 ","73.9","0046111","201314"
"English Language Learners ","* ","0 ","*","0046111","201314"
"Eligible for Free or ","72.2 ","13 ","36.1","0046111","201314"
"Reduced-Price Meals","","","","0046111","201314"
"Students with Disabilities ","* ","* ","*","0046111","201314"
"School ","90.9 ","376 ","71.6","0046111","201314"
"District ","89.5 ","","70.5","0046111","201314"
"Female ","92.8 ","182 ","72.8","0046111","201415"
"Male ","83.3 ","166 ","69.2","0046111","201415"
"Black or African American ","* ","* ","*","0046111","201415"
"Hispanic or Latino ","83.9 ","16 ","51.6","0046111","201415"
"White ","88.6 ","265 ","72.0","0046111","201415"
"English Language Learners ","* ","* ","*","0046111","201415"
"Eligible for Free or ","* ","6 ","*","0046111","201415"
"Reduced-Price Meals","","","","0046111","201415"
"Students with Disabilities ","* ","* ","*","0046111","201415"
"School ","88.2 ","348 ","71.0","0046111","201415"
"District ","87.1 ","","70.2","0046111","201415"
"Female ","98.4 ","186 ","75.3","0046111","201516"
"Male ","97.6 ","191 ","78.0","0046111","201516"
"Black or African American ","100.0 ","* ","*","0046111","201516"
"Hispanic or Latino ","97.1 ","19 ","55.9","0046111","201516"
"White ","97.8 ","293 ","79.0","0046111","201516"
"English Language Learners ","* ","0 ","*","0046111","201516"
"Eligible for Free or ","100.0 ","* ","*","0046111","201516"
"Reduced-Price Meals","","","","0046111","201516"
"Students with Disabilities ","* ","* ","*","0046111","201516"
"School ","98.0 ","377 ","76.6","0046111","201516"
"District ","97.2 ","","75.9","0046111","201516"
"Female ","86.8 ","125 ","59.0","0076111","201314"
"Male ","81.7 ","94 ","40.0","0076111","201314"
"Black or African American ","* ","0 ","*","0076111","201314"
"Hispanic or Latino ","60.0 ","* ","*","0076111","201314"
"White ","87.0 ","198 ","51.4","0076111","201314"
"English Language Learners ","* ","0 ","*","0076111","201314"
"Eligible for Free or ","50.9 ","7 ","12.7","0076111","201314"
"Reduced-Price Meals","","","","0076111","201314"
"Students with Disabilities ","* ","* ","*","0076111","201314"
"School ","84.1 ","219 ","49.0","0076111","201314"
"District ","83.6 ","","48.7","0076111","201314"
"Female ","84.5 ","111 ","52.1","0076111","201415"
"Male ","77.3 ","94 ","37.5","0076111","201415"
"Black or African American ","* ","0 ","*","0076111","201415"
"Hispanic or Latino ","35.3 ","* ","*","0076111","201415"
"White ","85.1 ","185 ","46.8","0076111","201415"
"English Language Learners ","* ","0 ","*","0076111","201415"
"Eligible for Free or ","44.1 ","8 ","11.8","0076111","201415"
"Reduced-Price Meals","","","","0076111","201415"
"Students with Disabilities ","* ","* ","*","0076111","201415"
"School ","80.6 ","205 ","44.2","0076111","201415"
"District ","79.7 ","","43.7","0076111","201415"
"Female ","98.3 ","126 ","54.1","0076111","201516"
"Male ","96.1 ","112 ","43.2","0076111","201516"
"Black or African American ","* ","0 ","*","0076111","201516"
"Hispanic or Latino ","87.1 ","* ","*","0076111","201516"
"White ","97.6 ","210 ","51.3","0076111","201516"
"English Language Learners ","* ","0 ","*","0076111","201516"
"Eligible for Free or ","93.5 ","12 ","19.4","0076111","201516"
"Reduced-Price Meals","","","","0076111","201516"
"Students with Disabilities ","* ","0 ","*","0076111","201516"
"School ","97.2 ","238 ","48.4","0076111","201516"
"District ","96.4 ","","47.8","0076111","201516"
"Female ","81.7 ","109 ","47.4","0096111","201314"
"Male ","72.5 ","101 ","42.8","0096111","201314"
"Black or African American ","* ","* ","*","0096111","201314"
"Hispanic or Latino ","60.3 ","13 ","22.4","0096111","201314"
"White ","79.8 ","177 ","49.6","0096111","201314"
"English Language Learners ","* ","0 ","*","0096111","201314"
"Eligible for Free or ","58.5 ","15 ","18.3","0096111","201314"
"Reduced-Price Meals","","","","0096111","201314"
"Students with Disabilities ","* ","* ","*","0096111","201314"
"School ","77.0 ","210 ","45.1","0096111","201314"
"District ","76.3 ","","44.7","0096111","201314"
"Female ","74.8 ","113 ","50.0","0096111","201415"
"Male ","63.3 ","103 ","41.5","0096111","201415"
"Black or African American ","* ","* ","*","0096111","201415"
"Hispanic or Latino ","50.8 ","23 ","35.4","0096111","201415"
"White ","71.9 ","173 ","48.2","0096111","201415"
"English Language Learners ","* ","0 ","*","0096111","201415"
"Eligible for Free or ","38.4 ","18 ","20.9","0096111","201415"
"Reduced-Price Meals","","","","0096111","201415"
"Students with Disabilities ","* ","* ","*","0096111","201415"
"School ","68.8 ","216 ","45.6","0096111","201415"
"District ","68.2 ","","45.2","0096111","201415"
"Female ","97.3 ","130 ","58.3","0096111","201516"
"Male ","95.4 ","119 ","50.2","0096111","201516"
"Black or African American ","* ","* ","*","0096111","201516"
"Hispanic or Latino ","98.4 ","30 ","47.6","0096111","201516"
"White ","95.6 ","190 ","55.9","0096111","201516"
"English Language Learners ","* ","0 ","*","0096111","201516"
"Eligible for Free or ","92.2 ","23 ","25.6","0096111","201516"
"Reduced-Price Meals","","","","0096111","201516"
"Students with Disabilities ","* ","* ","*","0096111","201516"
"School ","96.3 ","249 ","54.1","0096111","201516"
"District ","95.9 ","","53.9","0096111","201516"
"Female ","89.1 ","29 ","21.0","0116111","201314"
"Male ","84.5 ","9 ","7.0","0116111","201314"
"Black or African American ","88.0 ","35 ","14.5","0116111","201314"
"Hispanic or Latino ","* ","* ","*","0116111","201314"
"White ","* ","* ","*","0116111","201314"
"English Language Learners ","* ","0 ","*","0116111","201314"
"Eligible for Free or ","86.2 ","16 ","11.6","0116111","201314"
"Reduced-Price Meals","","","","0116111","201314"
"Students with Disabilities ","* ","0 ","*","0116111","201314"
"School ","86.9 ","38 ","14.2","0116111","201314"
"District ","70.8 ","","11.6","0116111","201314"
"Female ","89.2 ","30 ","27.0","0116111","201415"
"Male ","87.6 ","28 ","21.7","0116111","201415"
"Black or African American ","87.7 ","47 ","22.2","0116111","201415"
"Hispanic or Latino ","* ","* ","*","0116111","201415"
"White ","* ","6 ","*","0116111","201415"
"English Language Learners ","* ","0 ","*","0116111","201415"
"Eligible for Free or ","85.1 ","23 ","20.2","0116111","201415"
"Reduced-Price Meals","","","","0116111","201415"
"Students with Disabilities ","* ","0 ","*","0116111","201415"
"School ","88.3 ","58 ","24.2","0116111","201415"
"District ","69.5 ","","18.9","0116111","201415"
"Female ","93.6 ","29 ","23.2","0116111","201516"
"Male ","98.6 ","38 ","27.0","0116111","201516"
"Black or African American ","96.0 ","55 ","24.2","0116111","201516"
"Hispanic or Latino ","100.0 ","* ","*","0116111","201516"
"White ","* ","* ","*","0116111","201516"
"English Language Learners ","* ","0 ","*","0116111","201516"
"Eligible for Free or ","94.3 ","22 ","18.0","0116111","201516"
"Reduced-Price Meals","","","","0116111","201516"
"Students with Disabilities ","* ","0 ","*","0116111","201516"
"School ","96.2 ","67 ","25.2","0116111","201516"
"District ","95.4 ","","21.9","0116111","201516"
"Female ","* ","0 ","0.0","0116311","201314"
"Male ","* ","* ","*","0116311","201314"
"Black or African American ","* ","* ","*","0116311","201314"
"Hispanic or Latino ","* ","0 ","*","0116311","201314"
"White ","* ","0 ","*","0116311","201314"
"English Language Learners ","* ","0 ","*","0116311","201314"
"Eligible for Free or ","* ","0 ","0.0","0116311","201314"
"Reduced-Price Meals","","","","0116311","201314"
"Students with Disabilities ","* ","0 ","*","0116311","201314"
"School ","* ","* ","*","0116311","201314"
"District ","70.8 ","","11.6","0116311","201314"
"Female ","* ","* ","*","0116311","201415"
"Male ","0.0 ","* ","*","0116311","201415"
"Black or African American ","0.0 ","* ","*","0116311","201415"
"Hispanic or Latino ","* ","0 ","*","0116311","201415"
"White ","* ","* ","*","0116311","201415"
"English Language Learners ","* ","0 ","*","0116311","201415"
"Eligible for Free or ","* ","0 ","0.0","0116311","201415"
"Reduced-Price Meals","","","","0116311","201415"
"Students with Disabilities ","* ","0 ","*","0116311","201415"
"School ","* ","* ","*","0116311","201415"
"District ","69.5 ","","18.9","0116311","201415"
"Female ","100.0 ","* ","*","0116311","201516"
"Male ","96.2 ","* ","*","0116311","201516"
"Black or African American ","96.8 ","* ","*","0116311","201516"
"Hispanic or Latino ","* ","0 ","*","0116311","201516"
"White ","* ","* ","*","0116311","201516"
"English Language Learners ","N/A ","N/A ","N/A","0116311","201516"
"Eligible for Free or ","* ","* ","*","0116311","201516"
"Reduced-Price Meals","","","","0116311","201516"
"Students with Disabilities ","* ","0 ","*","0116311","201516"
"School ","98.1 ","* ","*","0116311","201516"
"District ","95.4 ","","21.9","0116311","201516"
"Female ","* ","0 ","*","0116411","201314"
"Male ","* ","0 ","*","0116411","201314"
"Black or African American ","* ","0 ","*","0116411","201314"
"Hispanic or Latino ","* ","0 ","*","0116411","201314"
"White ","N/A ","N/A ","N/A","0116411","201314"
"English Language Learners ","N/A ","N/A ","N/A","0116411","201314"
"Eligible for Free or ","* ","0 ","*","0116411","201314"
"Reduced-Price Meals","","","","0116411","201314"
"Students with Disabilities ","* ","0 ","*","0116411","201314"
"School ","* ","0 ","*","0116411","201314"
"District ","70.8 ","","11.6","0116411","201314"
"Female ","* ","0 ","*","0116411","201415"
"Male ","* ","0 ","*","0116411","201415"
"Black or African American ","* ","0 ","*","0116411","201415"
"Hispanic or Latino ","N/A ","N/A ","N/A","0116411","201415"
"White ","* ","0 ","*","0116411","201415"
"English Language Learners ","* ","0 ","*","0116411","201415"
"Eligible for Free or ","* ","0 ","*","0116411","201415"
"Reduced-Price Meals","","","","0116411","201415"
"Students with Disabilities ","* ","0 ","*","0116411","201415"
"School ","35.0 ","0 ","0.0","0116411","201415"
"District ","69.5 ","","18.9","0116411","201415"
"Female ","* ","0 ","*","0116411","201516"
"Male ","* ","0 ","*","0116411","201516"
"Black or African American ","* ","0 ","*","0116411","201516"
"Hispanic or Latino ","N/A ","N/A ","N/A","0116411","201516"
"White ","* ","0 ","*","0116411","201516"
"English Language Learners ","N/A ","N/A ","N/A","0116411","201516"
"Eligible for Free or ","* ","0 ","*","0116411","201516"
"Reduced-Price Meals","","","","0116411","201516"
"Students with Disabilities ","* ","0 ","*","0116411","201516"
"School ","* ","0 ","*","0116411","201516"
"District ","95.4 ","","21.9","0116411","201516"
"Female ","85.5 ","57 ","68.7","0126111","201314"
"Male ","76.3 ","47 ","50.5","0126111","201314"
"Black or African American ","* ","* ","*","0126111","201314"
"Hispanic or Latino ","* ","* ","*","0126111","201314"
"White ","84.8 ","94 ","62.3","0126111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0126111","201314"
"Eligible for Free or ","* ","* ","*","0126111","201314"
"Reduced-Price Meals","","","","0126111","201314"
"Students with Disabilities ","* ","0 ","*","0126111","201314"
"School ","80.7 ","104 ","59.1","0126111","201314"
"District ","78.0 ","","57.1","0126111","201314"
"Female ","77.8 ","45 ","62.5","0126111","201415"
"Male ","61.3 ","38 ","40.9","0126111","201415"
"Black or African American ","* ","* ","*","0126111","201415"
"Hispanic or Latino ","* ","* ","*","0126111","201415"
"White ","71.7 ","76 ","52.4","0126111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0126111","201415"
"Eligible for Free or ","38.5 ","6 ","23.1","0126111","201415"
"Reduced-Price Meals","","","","0126111","201415"
"Students with Disabilities ","* ","0 ","*","0126111","201415"
"School ","68.5 ","83 ","50.3","0126111","201415"
"District ","66.5 ","","48.8","0126111","201415"
"Female ","97.6 ","53 ","64.6","0126111","201516"
"Male ","95.7 ","32 ","45.7","0126111","201516"
"Black or African American ","* ","* ","*","0126111","201516"
"Hispanic or Latino ","* ","* ","*","0126111","201516"
"White ","97.1 ","83 ","60.6","0126111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0126111","201516"
"Eligible for Free or ","* ","* ","*","0126111","201516"
"Reduced-Price Meals","","","","0126111","201516"
"Students with Disabilities ","* ","0 ","*","0126111","201516"
"School ","96.7 ","85 ","55.9","0126111","201516"
"District ","96.1 ","","54.8","0126111","201516"
"Female ","83.4 ","121 ","44.6","0146111","201314"
"Male ","71.3 ","96 ","37.2","0146111","201314"
"Black or African American ","68.2 ","* ","*","0146111","201314"
"Hispanic or Latino ","81.3 ","7 ","21.9","0146111","201314"
"White ","76.8 ","174 ","41.2","0146111","201314"
"English Language Learners ","* ","0 ","*","0146111","201314"
"Eligible for Free or ","57.0 ","17 ","21.5","0146111","201314"
"Reduced-Price Meals","","","","0146111","201314"
"Students with Disabilities ","* ","* ","*","0146111","201314"
"School ","77.5 ","217 ","41.0","0146111","201314"
"District ","75.9 ","","40.1","0146111","201314"
"Female ","80.1 ","116 ","49.2","0146111","201415"
"Male ","66.2 ","81 ","34.2","0146111","201415"
"Black or African American ","* ","* ","*","0146111","201415"
"Hispanic or Latino ","48.6 ","7 ","20.0","0146111","201415"
"White ","75.2 ","157 ","41.9","0146111","201415"
"English Language Learners ","* ","0 ","*","0146111","201415"
"Eligible for Free or ","55.4 ","20 ","24.1","0146111","201415"
"Reduced-Price Meals","","","","0146111","201415"
"Students with Disabilities ","* ","* ","*","0146111","201415"
"School ","73.2 ","197 ","41.6","0146111","201415"
"District ","68.6 ","","38.7","0146111","201415"
"Female ","98.6 ","99 ","44.8","0146111","201516"
"Male ","97.7 ","92 ","35.5","0146111","201516"
"Black or African American ","* ","* ","*","0146111","201516"
"Hispanic or Latino ","95.2 ","12 ","28.6","0146111","201516"
"White ","98.7 ","150 ","40.1","0146111","201516"
"English Language Learners ","* ","0 ","*","0146111","201516"
"Eligible for Free or ","95.2 ","23 ","22.1","0146111","201516"
"Reduced-Price Meals","","","","0146111","201516"
"Students with Disabilities ","* ","* ","*","0146111","201516"
"School ","98.1 ","191 ","39.8","0146111","201516"
"District ","96.7 ","","36.8","0146111","201516"
"Female ","N/A ","N/A ","N/A","0150611","201314"
"Male ","N/A ","N/A ","N/A","0150611","201314"
"Black or African American ","N/A ","N/A ","N/A","0150611","201314"
"Hispanic or Latino ","N/A ","N/A ","N/A","0150611","201314"
"White ","N/A ","N/A ","N/A","0150611","201314"
"English Language Learners ","N/A ","N/A ","N/A","0150611","201314"
"Eligible for Free or ","N/A ","N/A ","N/A","0150611","201314"
"Reduced-Price Meals","","","","0150611","201314"
"Students with Disabilities ","N/A ","N/A ","N/A","0150611","201314"
"School ","N/A ","N/A ","N/A","0150611","201314"
"District ","65.7 ","","9.3","0150611","201314"
"Female ","84.2 ","8 ","14.0","0150611","201415"
"Male ","* ","0 ","*","0150611","201415"
"Black or African American ","71.4 ","* ","*","0150611","201415"
"Hispanic or Latino ","75.9 ","* ","*","0150611","201415"
"White ","* ","* ","*","0150611","201415"
"English Language Learners ","* ","0 ","*","0150611","201415"
"Eligible for Free or ","74.7 ","8 ","10.7","0150611","201415"
"Reduced-Price Meals","","","","0150611","201415"
"Students with Disabilities ","* ","0 ","*","0150611","201415"
"School ","74.7 ","8 ","10.7","0150611","201415"
"District ","50.8 ","","9.0","0150611","201415"
"Female ","100.0 ","27 ","17.2","0150611","201516"
"Male ","98.2 ","7 ","12.7","0150611","201516"
"Black or African American ","98.7 ","11 ","13.9","0150611","201516"
"Hispanic or Latino ","100.0 ","13 ","16.0","0150611","201516"
"White ","100.0 ","* ","*","0150611","201516"
"English Language Learners ","* ","0 ","*","0150611","201516"
"Eligible for Free or ","99.5 ","34 ","16.0","0150611","201516"
"Reduced-Price Meals","","","","0150611","201516"
"Students with Disabilities ","* ","0 ","*","0150611","201516"
"School ","99.5 ","34 ","16.0","0150611","201516"
"District ","94.9 ","","11.9","0150611","201516"
"Female ","N/A ","N/A ","N/A","0150811","201314"
"Male ","N/A ","N/A ","N/A","0150811","201314"
"Black or African American ","N/A ","N/A ","N/A","0150811","201314"
"Hispanic or Latino ","N/A ","N/A ","N/A","0150811","201314"
"White ","N/A ","N/A ","N/A","0150811","201314"
"English Language Learners ","N/A ","N/A ","N/A","0150811","201314"
