"category","Count","SPI","Target","Achieved","type","school_id","year"
"","","","","","CMT","0010111","201314"
"Black or African American ","",".",". ","","CMT","0010111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0010111","201314"
"English Language Learners ","",".",". ","","CMT","0010111","201314"
"","","","","","CMT","0010111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0010111","201314"
"Students with Disabilities ","",".",". ","","CMT","0010111","201314"
"","","","","","CMT","0020311","201314"
"Black or African American ","",".",". ","","CMT","0020311","201314"
"Hispanic or Latino ","",".",". ","","CMT","0020311","201314"
"English Language Learners ","",".",". ","","CMT","0020311","201314"
"","","","","","CMT","0020311","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0020311","201314"
"Students with Disabilities ","",".",". ","","CMT","0020311","201314"
"","","","","","CMT","0020811","201314"
"Black or African American ","",".",". ","","CMT","0020811","201314"
"Hispanic or Latino ","",".",". ","","CMT","0020811","201314"
"English Language Learners ","",".",". ","","CMT","0020811","201314"
"","","","","","CMT","0020811","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0020811","201314"
"Students with Disabilities ","",".",". ","","CMT","0020811","201314"
"","","","","","CMT","0025111","201314"
"Black or African American ","",".",". ","","CMT","0025111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0025111","201314"
"English Language Learners ","",".",". ","","CMT","0025111","201314"
"","","","","","CMT","0025111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0025111","201314"
"Students with Disabilities ","",".",". ","","CMT","0025111","201314"
"","","","","","CAPT","0026111","201314"
"Black or African American ","",".",". ","","CAPT","0026111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0026111","201314"
"English Language Learners ","",".",". ","","CAPT","0026111","201314"
"","","","","","CAPT","0026111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0026111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0026111","201314"
"Black or African American ","<20 ",".",".","","CMT","0030111","201314"
"Hispanic or Latino ","<20 ",".","73.4 ","n/a","CMT","0030111","201314"
"English Language Learners ","<20 ",".",".","","CMT","0030111","201314"
"Eligible for Free or Reduced-Price Meals ","74 ","62.1","72.6 ","No","CMT","0030111","201314"
"Students with Disabilities ","28 ","54.8","57.4 ","No","CMT","0030111","201314"
