"subject","participation.rate","school_id","year"
"ELA Performance index: All Students ","98.8","0010111","201415"
"EL Performance indexA: High Needs Students ","100.0","0010111","201415"
"Math Performance index: All Students ","98.8","0010111","201415"
"Math Performance index: High Needs Students ","100.0","0010111","201415"
"Science Performance index: All Students ","100.0","0010111","201415"
"Science Performance index: High Needs Students ",".","0010111","201415"
"ELA: All Students ","98.1","0010111","201516"
"ELA: High Needs Students ","95.0","0010111","201516"
"Math: All Students ","98.1","0010111","201516"
"Math: High Needs Students ","95.0","0010111","201516"
"Science: All Students ","97.7","0010111","201516"
"Science: High Needs Students ",".","0010111","201516"
"ELA Performance index: All Students ","99.7","0020311","201415"
"EL Performance indexA: High Needs Students ","99.6","0020311","201415"
"Math Performance index: All Students ","99.7","0020311","201415"
"Math Performance index: High Needs Students ","99.6","0020311","201415"
"Science Performance index: All Students ","100","0020311","201415"
"Science Performance index: High Needs Students ","100","0020311","201415"
"ELA: All Students ","100","0020311","201516"
"ELA: High Needs Students ","100","0020311","201516"
"Math: All Students ","100","0020311","201516"
"Math: High Needs Students ","100","0020311","201516"
"Science: All Students ","100","0020311","201516"
"Science: High Needs Students ","100","0020311","201516"
"ELA Performance index: All Students ","99.7","0020811","201415"
"EL Performance indexA: High Needs Students ","100","0020811","201415"
"Math Performance index: All Students ","99.7","0020811","201415"
"Math Performance index: High Needs Students ","100","0020811","201415"
"Science Performance index: All Students ","97.8","0020811","201415"
"Science Performance index: High Needs Students ","97.2","0020811","201415"
"ELA: All Students ","98","0020811","201516"
"ELA: High Needs Students ","98.1","0020811","201516"
"Math: All Students ","97.7","0020811","201516"
"Math: High Needs Students ","97.7","0020811","201516"
"Science: All Students ","99","0020811","201516"
"Science: High Needs Students ","98.5","0020811","201516"
"ELA Performance index: All Students ","98","0025111","201415"
"EL Performance indexA: High Needs Students ","97.7","0025111","201415"
"Math Performance index: All Students ","98","0025111","201415"
"Math Performance index: High Needs Students ","97.7","0025111","201415"
"Science Performance index: All Students ","97.7","0025111","201415"
"Science Performance index: High Needs Students ","97.6","0025111","201415"
"ELA: All Students ","97.2","0025111","201516"
"ELA: High Needs Students ","96.4","0025111","201516"
"Math: All Students ","97.2","0025111","201516"
"Math: High Needs Students ","96.4","0025111","201516"
"Science: All Students ","100","0025111","201516"
"Science: High Needs Students ","100","0025111","201516"
"ELA: All Students ","93.8","0026111","201415"
"ELA: High Needs Students ","95.3","0026111","201415"
"Math: All Students ","92.1","0026111","201415"
"Math: High Needs Students ","89.2","0026111","201415"
"Science: All Students ","95.1","0026111","201415"
"Science: High Needs Students ","93.1","0026111","201415"
"ELA: All Students ","95.8","0026111","201516"
"ELA: High Needs Students ","94","0026111","201516"
"Math: All Students ","95.8","0026111","201516"
"Math: High Needs Students ","94","0026111","201516"
"Science: All Students ","98.7","0026111","201516"
"Science: High Needs Students ","99.1","0026111","201516"
"ELA Performance index: All Students ","99.6","0030111","201415"
"EL Performance indexA: High Needs Students ","100","0030111","201415"
"Math Performance index: All Students ","99.6","0030111","201415"
"Math Performance index: High Needs Students ","100","0030111","201415"
"Science Performance index: All Students ","97.7","0030111","201415"
"Science Performance index: High Needs Students ","100","0030111","201415"
"ELA: All Students ","100","0030111","201516"
"ELA: High Needs Students ","100","0030111","201516"
"Math: All Students ","100","0030111","201516"
"Math: High Needs Students ","100","0030111","201516"
"Science: All Students ","100","0030111","201516"
"Science: High Needs Students ","100","0030111","201516"
"ELA Performance index: All Students ","100.0","0040311","201415"
"EL Performance indexA: High Needs Students ","100.0","0040311","201415"
"Math Performance index: All Students ","100.0","0040311","201415"
"Math Performance index: High Needs Students ","100.0","0040311","201415"
"Science Performance index: All Students ",".","0040311","201415"
"Science Performance index: High Needs Students ",".","0040311","201415"
"ELA: All Students ","99.5","0040311","201516"
"ELA: High Needs Students ","100.0","0040311","201516"
